sales_id;no_mobi;;
1;B1071NRI;;
1;B1987PIU;;
1;B1081NRI;;
1;B1601PIW;;
1;B1310NRI;;
1;B1299NRI;;
1;B1284NRI;;
1;B1096NRI;;
1;B1319NRI;;
1;B1983PIC;;
1;B1287NRI;;
2;B1441NRI;;
2;B1965PIC;;
2;B1436NRI;;
2;B1072NRI;;
2;B1591PIW;;
2;B1298NRI;;
2;B1344NRI;;
2;B1269NRI;;
2;B1141NRI;;
2;B1438NRI;;
2;B1325NRI;;
2;B1435NRI;;
3;B1328NRI;;
3;B1289NRI;;
3;B1323NRI;;
3;B1283NRI;;
3;B1970PIC;;
3;B1348NRI;;
3;B1271NRI;;
3;B1078NRI;;
3;B1061PIW;;
3;B1266NRI;;
3;B1103NRI;;
3;B1349NRI;;
4;B1852PIU;;
4;B1305PIU;;
4;B1834PIU;;
4;B1368PIU;;
4;B1855PIU;;
4;B1588PIU;;
4;B1982PIC;;
4;B1953PIC;;
4;B1836PIU;;
4;B1594PIU;;
4;B1566PIW;;
4;B1257PIU;;
4;B1364PIU;;
4;B1846PIU;;
4;B1571PIW;;
4;B1864PIU;;
5;B1296NRI;;
5;B1278NRI;;
5;B1062NRI;;
5;B1268NRI;;
5;B1115NRI;;
5;B1087NRI;;
5;B1604PIW;;
5;B1292NRI;;
5;B1437NRI;;
5;B1074NRI;;
5;B1324NRI;;
5;B1294NRI;;
1;B1382PIO;;
1;B1247PIU;;
1;B1365PIO;;
1;B1586PIW;;
1;B1377PIO;;
1;B1949PIC;;
1;B1349PIO;;
1;H8667XX;;
1;B1967PIC;;
1;B1253PIU;;
1;B1379PIO;;
1;H8851AR;;
1;B1415PIO;;
1;B1371PIO;;
1;B1380PIO;;
1;B1375PIO;;
1;B1614PIW;;
2;B1320PIU;;
2;B1589PIU;;
2;B1974PIC;;
2;B1553PIW;;
2;B1402PIU;;
2;B1062PIU;;
2;B1353PIU;;
2;B1859PIU;;
2;B1608PIU;;
2;B1063NRI;;
2;B1588PIW;;
2;B1962PIC;;
2;B1191PIU;;
2;B1601PIU;;
2;B1302PIU;;
2;B1973PIC;;
